,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Free Cash Flow,98767000000.0,108807000000.0,99584000000.0,111443000000.0,
Repurchase Of Capital Stock,-90711000000.0,-94949000000.0,-77550000000.0,-89402000000.0,
Repayment Of Debt,-10932000000.0,-9958000000.0,-11151000000.0,-9543000000.0,
Issuance Of Debt,4481000000.0,0.0,5228000000.0,5465000000.0,
Issuance Of Capital Stock,,,,,1105000000.0
Capital Expenditure,-12715000000.0,-9447000000.0,-10959000000.0,-10708000000.0,
Interest Paid Supplemental Data,,,3803000000.0,2865000000.0,2687000000.0
Income Tax Paid Supplemental Data,43369000000.0,26102000000.0,18679000000.0,19573000000.0,
End Cash Position,35934000000.0,29943000000.0,30737000000.0,24977000000.0,
Beginning Cash Position,29943000000.0,30737000000.0,24977000000.0,35929000000.0,
Changes In Cash,5991000000.0,-794000000.0,5760000000.0,-10952000000.0,
Financing Cash Flow,-120686000000.0,-121983000000.0,-108488000000.0,-110749000000.0,
Cash Flow From Continuing Financing Activities,-120686000000.0,-121983000000.0,-108488000000.0,-110749000000.0,
Net Other Financing Charges,-6071000000.0,-5802000000.0,-6012000000.0,-6383000000.0,
Cash Dividends Paid,-15421000000.0,-15234000000.0,-15025000000.0,-14841000000.0,
Common Stock Dividend Paid,-15421000000.0,-15234000000.0,-15025000000.0,-14841000000.0,
Net Common Stock Issuance,-90711000000.0,-94949000000.0,-77550000000.0,-89402000000.0,
Common Stock Payments,-90711000000.0,-94949000000.0,-77550000000.0,-89402000000.0,
Common Stock Issuance,,,,,1105000000.0
Net Issuance Payments Of Debt,-8483000000.0,-5998000000.0,-9901000000.0,-123000000.0,
Net Short Term Debt Issuance,-2032000000.0,3960000000.0,-3978000000.0,3955000000.0,
Net Long Term Debt Issuance,-6451000000.0,-9958000000.0,-5923000000.0,-4078000000.0,
Long Term Debt Payments,-10932000000.0,-9958000000.0,-11151000000.0,-9543000000.0,
Long Term Debt Issuance,4481000000.0,0.0,5228000000.0,5465000000.0,
Investing Cash Flow,15195000000.0,2935000000.0,3705000000.0,-22354000000.0,
Cash Flow From Continuing Investing Activities,15195000000.0,2935000000.0,3705000000.0,-22354000000.0,
Net Other Investing Changes,-1480000000.0,-1308000000.0,-1337000000.0,-2086000000.0,
Net Investment Purchase And Sale,29390000000.0,13690000000.0,16001000000.0,-9560000000.0,
Sale Of Investment,53797000000.0,62346000000.0,45514000000.0,67363000000.0,
Purchase Of Investment,-24407000000.0,-48656000000.0,-29513000000.0,-76923000000.0,
Net Business Purchase And Sale,,,,-306000000.0,-33000000.0
Purchase Of Business,,,,-306000000.0,-33000000.0
Net PPE Purchase And Sale,-12715000000.0,-9447000000.0,-10959000000.0,-10708000000.0,
Purchase Of PPE,-12715000000.0,-9447000000.0,-10959000000.0,-10708000000.0,
Operating Cash Flow,111482000000.0,118254000000.0,110543000000.0,122151000000.0,
Cash Flow From Continuing Operating Activities,111482000000.0,118254000000.0,110543000000.0,122151000000.0,
Change In Working Capital,-25000000000.0,3651000000.0,-6577000000.0,1200000000.0,
Change In Other Working Capital,,,,478000000.0,1676000000.0
Change In Other Current Liabilities,-11076000000.0,15552000000.0,3031000000.0,6110000000.0,
Change In Other Current Assets,-9197000000.0,-11731000000.0,-5684000000.0,-6499000000.0,
Change In Payables And Accrued Expense,902000000.0,6020000000.0,-1889000000.0,9448000000.0,
Change In Payable,902000000.0,6020000000.0,-1889000000.0,9448000000.0,
Change In Account Payable,902000000.0,6020000000.0,-1889000000.0,9448000000.0,
Change In Inventory,1400000000.0,-1046000000.0,-1618000000.0,1484000000.0,
Change In Receivables,-7029000000.0,-5144000000.0,-417000000.0,-9343000000.0,
Changes In Account Receivables,-6682000000.0,-3788000000.0,-1688000000.0,-1823000000.0,
Other Non Cash Items,-89000000.0,-2266000000.0,-2227000000.0,1006000000.0,
Stock Based Compensation,12863000000.0,11688000000.0,10833000000.0,9038000000.0,
Deferred Tax,,,,895000000.0,-4774000000.0
Deferred Income Tax,,,,895000000.0,-4774000000.0
Depreciation Amortization Depletion,11698000000.0,11445000000.0,11519000000.0,11104000000.0,
Depreciation And Amortization,11698000000.0,11445000000.0,11519000000.0,11104000000.0,
Net Income From Continuing Operations,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
